Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
2012,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,6075300000.0
2012,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,6624500000.0
2012,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1504300000.0
2012,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,17667200000.0
2012,48,Alberta,61,Educational services,Chained (2017) dollars,11903600000.0
2012,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,7872300000.0
2013,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2389100000.0
2013,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,18897600000.0
2013,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,32697300000.0
2013,48,Alberta,52,Finance and insurance,Chained (2017) dollars,12059600000.0
2013,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6679200000.0
2013,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,14215900000.0
2013,48,Alberta,44-45,Retail trade,Chained (2017) dollars,13856400000.0
2013,48,Alberta,41,Wholesale trade,Chained (2017) dollars,16613300000.0
